canonical_id,canonical_name,venue_type,n_events_nearby,nearest_event_m
cv_0290,Whole Foods Market,other,0,1222.0
cv_0291,Dot's Cafe,cafe,0,1160.0
cv_0292,Caffe Roma,cafe,0,2069.0
cv_0293,"noa, a café",cafe,0,1244.0
cv_0295,Blank Street,cafe,0,1734.0
cv_0296,Le Pain Quotidien,cafe,0,432.0
cv_0297,semicolon cafe,cafe,0,9298.0
cv_0298,Waypoint Cafe NYC,cafe,0,2209.0
cv_0299,The Library at the Public,restaurant,0,1727.0
cv_0300,Bluestone Lane 330 Madison Avenue,cafe,0,669.0
cv_0301,Matto Espresso,cafe,0,1505.0
cv_0302,THE ELK on Mott,cafe,0,2215.0
cv_0303,Jack's Stir Brew Coffee,cafe,0,1333.0
cv_0304,Writers Room Inc,other,0,1593.0
cv_0305,Partners Coffee - West Village,cafe,0,685.0
cv_0306,In Common NYC - A Breakfast & Brunch Restaurant,cafe,0,935.0
cv_0307,Matto Espresso,cafe,0,8097.0
cv_0308,Le Cafe Coffee,cafe,0,1070.0
cv_0313,The Hotel Chelsea,restaurant,0,841.0
cv_0309,Cafe East,cafe,0,5864.0
cv_0310,The Hugh,restaurant,0,1351.0
cv_0311,La Colombe Coffee Workshop,cafe,0,2001.0
cv_0312,Café Standard,cafe,0,1887.0
cv_0319,David Geffen Hall,other,0,1782.0
cv_0314,Peacefood,cafe,0,1358.0
cv_0315,Serafina Broadway 55th (Midtown),restaurant,0,889.0
cv_0316,Pier 57,restaurant,0,433.0
cv_0317,The Greenwich Hotel,hotel,0,1689.0
cv_0318,Walker Hotel Greenwich Village,hotel,0,897.0
cv_0321,La Colombe Coffee Workshop,cafe,0,1779.0
cv_0322,Little Collins,cafe,0,1171.0
cv_0323,Birch Coffee,cafe,0,1047.0
cv_0324,Ralph's Coffee,cafe,0,764.0
cv_0325,Caffè Lavazza.,cafe,0,1359.0
cv_0326,Andrew Heiskell Braille and Talking Book Library,library,0,1024.0
