station_complex_id,dow,hour,mean_ridership,pred_ridership,n_obs
10,0,0,266.16,263.94414711372406,75
10,0,1,93.88,87.57659342706198,75
10,0,2,41.14666666666667,39.056249518312406,75
10,0,3,26.093333333333334,25.006772271817226,75
10,0,4,23.026666666666667,22.11574818922245,75
10,0,5,47.06666666666667,47.782714558204596,75
10,0,6,130.98666666666668,137.26775397971502,75
10,0,7,310.52,323.2384570996541,75
10,0,8,693.5466666666666,701.056766243128,75
10,0,9,830.1333333333333,812.9409531039594,75
10,0,10,774.2933333333333,763.8222979400326,75
10,0,11,706.5733333333334,722.6140142915706,75
10,0,12,710.36,722.2512454542707,75
10,0,13,737.6133333333333,726.691917457283,75
10,0,14,910.68,922.7033565096833,75
10,0,15,1239.2266666666667,1248.2587775595066,75
10,0,16,1703.5866666666666,1705.8081869474734,75
10,0,17,2747.24,2723.722105150545,75
10,0,18,2084.5066666666667,2062.7328868177483,75
10,0,19,1252.2266666666667,1217.1060037004247,75
10,0,20,948.1333333333333,928.0104864858682,75
10,0,21,952.5733333333334,957.3418233426055,75
10,0,22,734.6933333333334,741.6043422817347,75
10,0,23,461.17333333333335,455.5517768448092,75
10,1,0,278.84,273.46382832805085,75
10,1,1,85.21333333333334,86.33156543852307,75
10,1,2,38.22666666666667,37.88733597725986,75
10,1,3,18.85333333333333,23.433667828997912,75
10,1,4,20.773333333333333,21.182315646192166,75
10,1,5,48.973333333333336,50.007447048434756,75
10,1,6,145.37333333333333,146.45084202206624,75
10,1,7,354.25333333333333,366.2948508815201,75
10,1,8,764.32,770.3545281967934,75
10,1,9,899.28,909.5366502474002,75
10,1,10,810.4933333333333,839.3380065224287,75
10,1,11,736.5866666666667,798.2888072096038,75
10,1,12,749.5733333333334,797.6683912647862,75
10,1,13,802.72,804.4164965474008,75
10,1,14,999.0266666666666,1006.4224285397188,75
10,1,15,1337.3066666666666,1353.0608359028872,75
10,1,16,1963.3733333333332,1998.5507220122797,75
10,1,17,3444.306666666667,3424.5314889354186,75
10,1,18,2559.4,2491.8982688546866,75
10,1,19,1512.5466666666666,1442.5661638902195,75
10,1,20,1142.32,1187.3075152572878,75
10,1,21,1737.0933333333332,1642.7150912104241,75
10,1,22,1223.3733333333332,1252.826580333099,75
10,1,23,541.56,678.4782895588548,75
10,2,0,326.28,327.15473123462795,75
10,2,1,102.86842105263158,103.58852106388551,76
10,2,2,47.18421052631579,44.1009785556661,76
10,2,3,25.473684210526315,26.876043758735978,76
10,2,4,24.0,23.204454760226135,76
10,2,5,48.36842105263158,50.28693000904895,76
10,2,6,137.28947368421052,144.38582229385722,76
10,2,7,357.67105263157896,362.94374879445536,76
10,2,8,791.0394736842105,766.2957543810987,76
10,2,9,905.5131578947369,906.8194547401635,76
10,2,10,825.8815789473684,840.2386561416431,76
10,2,11,747.9605263157895,806.6219719200031,76
10,2,12,759.9605263157895,806.5894356810683,76
10,2,13,834.75,814.7894802342622,76
10,2,14,986.6842105263158,1026.4733527567303,76
10,2,15,1383.157894736842,1383.70709560137,76
10,2,16,2192.2236842105262,2085.495914574487,76
10,2,17,3414.7894736842104,3356.288021681982,76
10,2,18,2520.092105263158,2446.1044894741767,76
10,2,19,1531.0,1474.6781218059632,76
10,2,20,1154.2763157894738,1202.1610941450347,76
10,2,21,1424.6052631578948,1526.4117378430572,76
10,2,22,1470.8947368421052,1393.3392255007354,76
10,2,23,647.56,699.2526896476044,75
10,3,0,356.29333333333335,357.3346895798786,75
10,3,1,117.45333333333333,111.4739624881303,75
10,3,2,49.54666666666667,47.19204041510268,75
10,3,3,32.50666666666667,31.36727052433376,75
10,3,4,27.04054054054054,25.0312597656298,74
10,3,5,51.10666666666667,51.61997444786923,75
10,3,6,142.06666666666666,144.01756903488874,75
10,3,7,347.46666666666664,357.23991185265476,75
10,3,8,742.12,748.6510868610771,75
10,3,9,914.2133333333334,900.9433403984397,75
10,3,10,859.68,848.844057005053,75
10,3,11,811.9733333333334,825.655608408667,75
10,3,12,799.4133333333333,822.0597259509399,75
10,3,13,845.36,827.2055658366302,75
10,3,14,1072.4666666666667,1064.7557149547667,75
10,3,15,1409.6266666666668,1406.3503403494562,75
10,3,16,1964.0533333333333,2017.1935577154795,75
10,3,17,3123.0,3164.597641280097,75
10,3,18,2404.826666666667,2425.6634338804565,75
10,3,19,1554.0266666666666,1501.3102856912676,75
10,3,20,1225.0,1230.9673997518207,75
10,3,21,1810.7733333333333,1687.1251689535038,75
10,3,22,1395.1066666666666,1412.0553720956448,75
10,3,23,686.2702702702703,722.2563489471122,74
10,4,0,404.6,387.09752956712475,75
10,4,1,135.3013698630137,134.9983249584826,73
10,4,2,59.68493150684932,60.975988345571125,73
10,4,3,33.43835616438356,34.66617503578653,73
10,4,4,30.30666666666667,29.61573911920375,75
10,4,5,52.18666666666667,52.47156969406,75
10,4,6,130.70666666666668,139.8640102267944,75
10,4,7,313.3066666666667,320.3703180693013,75
